[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.0G 3040k  424M  160M| 96   0   4   0   0   0|  40k    0 
15.0G 3040k  424M  159M|100   0   0   0   0   0|  32k    0 
15.0G 3384k  411M  169M| 93   1   6   0   0   0|  15M  720k
15.0G 3384k  411M  169M|100   0   0   0   0   0| 124k    0 
15.0G 3696k  411M  168M|100   0   0   0   0   0| 368k   68k
15.0G 3696k  411M  168M| 95   0   5   0   0   0|  68k    0 
15.0G 3696k  411M  168M|100   0   0   0   0   0|  32k    0 
15.0G 3696k  411M  168M| 94   0   6   0   0   0|  52k    0 
15.0G 3696k  411M  164M| 94   0   6   0   0   0|3616k    0 
15.0G 3708k  411M  164M|100   0   0   0   0   0|  48k  244k
15.0G 3708k  411M  164M| 95   0   5   0   0   0|  28k    0 
15.0G 3708k  411M  164M| 95   0   5   0   0   0|  52k    0 
15.0G 3708k  411M  164M|100   0   0   0   0   0| 124k    0 
15.0G 3708k  411M  164M| 95   0   5   0   0   0|  32k    0 
15.0G 3716k  416M  160M|100   0   0   0   0   0|  10M  124k
15.0G 3708k  415M  162M| 93   1   5   0   0   0| 140M 2364k
15.0G 3708k  415M  167M| 92   2   6   0   0   0| 233M 3488k
15.0G 3700k  436M  150M| 93   2   6   0   0   0| 238M 5796k
15.0G 3692k  435M  163M| 98   2   0   0   0   0| 282M   10M
15.0G 3664k  442M  161M| 92   2   6   0   0   0| 238M 6740k
15.0G 3644k  449M  155M| 92   2   6   0   0   0| 215M 4216k
15.0G 3560k  444M  164M| 91   2   7   0   0   0| 269M 7432k
15.0G 3228k  445M  171M| 97   2   0   0   0   0| 309M 8976k
15.0G 2996k  461M  162M| 93   1   6   0   0   0| 240M 3836k
15.0G 2904k  455M  168M| 99   1   0   0   0   0| 154M 2244k
15.0G 2904k  460M  162M|100   0   0   0   0   0|  11M    0 
15.0G 2904k  460M  161M| 94   0   6   0   0   0| 724k    0 
