[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.1G 5616k 91.4M  404M|  1  92   7   0   0   0| 312k    0 
15.1G 5616k 91.4M  404M|  1  94   5   0   0   0|1558k    0 
15.1G 5624k 91.4M  404M|  0  97   2   0   0   0| 242k   32k
15.1G 5632k 91.5M  404M|  1  93   6   0   0   0|  15M   24k
15.1G 5632k 91.5M  404M|  1  99   1   0   0   0|  39M  176k
15.1G 5632k 91.5M  404M|  0  92   7   0   0   0|4003k    0 
15.1G 5632k 91.5M  404M|  0  99   1   0   0   0| 294k    0 
15.1G 5640k 91.5M  404M|  1  98   1   0   0   0|4887k   32k
15.1G 5640k 91.5M  404M|  1  91   8   0   0   0|  22M    0 
15.1G 5648k 91.5M  404M|  1  97   2   0   0   0|  28M   52k
15.1G 5648k 91.5M  404M|  1  98   2   0   0   0|  29M   72k
15.1G 5648k 91.5M  404M|  0  91   9   0   0   0|  23M    0 
15.1G 5656k 91.5M  404M|  1  95   4   0   0   0|  72M   40k
15.1G 5656k 91.5M  404M|  1  89  10   0   0   0| 130M    0 
15.1G 5656k 91.5M  404M|  1  87  12   0   0   0| 214M  120k
15.1G 5664k 91.5M  404M|  1  92   7   0   0   0| 259M   24k
15.1G 5664k 91.5M  404M|  1  87  12   0   0   0| 203M    0 
15.1G 5672k 91.5M  404M|  1  92   7   0   0   0| 214M  100k
15.1G 5672k 91.5M  404M|  1  97   3   0   0   0| 244M   72k
15.1G 5672k 91.5M  404M|  1  95   4   0   0   0| 249M  144k
15.1G 5672k 91.5M  404M|  0  91   9   0   0   0| 212M    0 
15.1G 5672k 91.5M  404M|  1  94   6   0   0   0| 208M    0 
15.1G 5680k 91.5M  404M|  1  92   7   0   0   0| 185M   88k
15.1G 5688k 91.5M  405M|  0  99   1   0   0   0|  82M   24k
15.1G 5688k 91.5M  405M|  1  92   7   0   0   0|  21M    0 
15.1G 5688k 91.5M  405M|  1  99   0   0   0   0|  18M    0 
15.1G 5688k 91.5M  405M|  1  92   7   0   0   0|  47M  472k
15.1G 5696k 91.5M  405M|  1  97   2   0   0   0| 297k   32k
15.1G 5696k 91.5M  405M|  0  99   0   0   0   0| 219k    0 
15.1G 5696k 91.5M  405M|  0  93   7   0   0   0| 336k    0 
15.1G 5696k 91.5M  405M|  1  99   0   0   0   0|  88k    0 
15.1G 5704k 91.5M  405M|  0  92   7   0   0   0|1301k  128k
15.1G 5712k 91.5M  405M|  1  99   1   0   0   0|  64k   32k
15.1G 5712k 91.5M  405M|  1  93   7   0   0   0| 200k    0 
15.1G 5712k 91.5M  405M|  1  99   0   0   0   0|  21M    0 
15.1G 5712k 91.5M  403M|  1  99   0   0   0   0| 303k    0 
15.1G 5720k 91.5M  403M|  0  92   7   0   0   0|1739k   24k
15.1G 5728k 91.5M  403M|  0  99   0   0   0   0| 177k   32k
15.1G 5728k 91.5M  403M|  1  95   4   0   0   0| 192k    0 
15.1G 5728k 91.6M  403M|  1  92   7   0   0   0| 500k    0 
15.1G 5728k 91.6M  403M|  1  98   1   0   0   0|2730k    0 
15.1G 5728k 91.6M  403M|  1  99   1   0   0   0|3956k    0 
15.1G 5736k 91.6M  403M|  1  92   7   0   0   0|4789k  112k
15.1G 5736k 91.6M  403M|  0  99   1   0   0   0| 120k    0 
15.1G 5740k 91.6M  403M|  0  92   8   0   0   0| 228k   56k
15.1G 5740k 91.6M  403M|  0  97   3   0   0   0|1786k    0 
15.1G 5740k 91.6M  403M|  0  96   4   0   0   0| 128k    0 
15.1G 5756k 91.6M  403M|  1  93   7   0   0   0|1408k  112k
15.1G 5756k 91.6M  403M|  1  92   7   0   0   0| 430k    0 
15.1G 5756k 91.6M  403M|  1  98   1   0   0   0| 177k    0 
15.1G 5756k 91.6M  403M|  0  93   6   0   0   0| 128k  124k
15.1G 5756k 91.6M  403M|  0  93   6   0   0   0|  17M    0 
15.1G 5764k 91.6M  403M|  0  99   0   0   0   0|  38M   84k
15.1G 5764k 91.6M  403M|  1  93   7   0   0   0|  74M   64k
15.1G 5764k 91.6M  403M|  1  91   8   0   0   0| 143M    0 
15.1G 5764k 91.6M  403M|  1  98   1   0   0   0| 230M  124k
15.1G 5764k 91.6M  403M|  2  91   7   0   0   0| 196M    0 
15.1G 5772k 91.6M  403M|  1  93   7   0   0   0| 221M   32k
15.1G 5780k 91.6M  403M|  1  92   7   0   0   0| 221M   24k
