[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
15.4G  896k 90.9M  151M| 92   0   8   0   0   0|  16k    0 
15.4G  896k 90.9M  151M| 99   1   0   0   0   0| 116k    0 
15.4G  896k 90.9M  151M| 93   0   7   0   0   0|  36k    0 
15.4G  896k 90.9M  151M| 99   0   0   0   0   0|  44k    0 
15.4G  904k 90.9M  151M| 93   0   7   0   0   0| 192k   24k
15.4G  904k 92.3M  149M| 92   0   8   0   0   0|1824k    0 
15.4G  904k 92.3M  149M| 99   1   0   0   0   0|  64k    0 
15.4G  548k 92.6M  150M| 91   2   7   0   0   0|  41M  376k
15.3G  432k 91.8M  152M| 90   2   8   0   0   0|  55M  396k
15.3G  424k 85.7M  159M| 97   3   0   0   0   1|  95M 1552k
15.3G  408k 84.8M  162M| 88   4   7   0   0   0| 128M 1268k
15.3G  396k  100M  146M| 87   4   8   0   0   1| 147M  804k
15.3G  488k 92.4M  153M| 93   5   2   0   0   0| 141M  688k
15.3G  488k 85.5M  161M| 89   5   6   0   0   0| 146M  408k
15.3G  388k 96.6M  150M| 88   4   8   0   0   0| 145M  424k
15.4G  628k 80.0M  164M| 87   4   8   0   0   0| 124M  228k
15.4G  488k 89.9M  153M| 95   4   1   0   0   0| 138M  156k
15.4G 1112k 83.1M  153M| 85   4   9   1   0   0| 133M  328k
15.4G  436k 75.8M  161M| 94   4   1   0   0   0| 123M  204k
15.4G  404k 81.2M  155M| 88   2   9   0   0   0|  54M  512k
15.4G  416k 82.9M  152M| 99   1   0   0   0   0|  10M  144k
15.4G  416k 84.0M  148M| 99   0   0   0   0   0|1424k    0 
15.4G  416k 84.1M  148M| 93   0   7   0   0   0| 108k    0 
15.4G  416k 84.1M  148M| 99   1   0   0   0   0|  80k    0 
15.4G  424k 84.2M  148M| 92   0   7   0   0   0| 120k   64k
15.4G  424k 84.2M  148M|100   0   0   0   0   0| 172k    0 
15.4G  424k 84.3M  148M| 94   0   6   0   0   0|  68k    0 
15.4G  416k 80.3M  151M| 98   1   1   0   0   0|3392k  400k
15.4G  416k 81.0M  150M| 99   1   0   0   0   0| 236k    0 
15.4G  556k 82.6M  148M| 91   1   8   0   0   0|2380k   52k
15.4G  556k 83.0M  147M| 99   0   0   0   0   0| 444k    0 
15.4G  556k 83.0M  147M| 91   0   8   0   0   0| 284k    0 
15.4G  556k 82.9M  147M| 99   1   0   0   0   0| 212k    0 
15.4G  556k 83.0M  147M| 93   0   7   0   0   0|  72k    0 
15.4G  556k 83.2M  146M| 99   1   0   0   0   0| 400k    0 
15.4G  564k 83.2M  146M| 93   0   7   0   0   0|  84k   32k
15.4G  564k 83.2M  146M|100   0   0   0   0   0|  56k    0 
15.4G  564k 83.2M  146M| 93   1   7   0   0   0| 296k  196k
15.4G  420k 79.8M  146M| 91   3   5   0   0   0|  36M 1620k
15.4G  412k 81.8M  144M| 93   2   4   0   0   0|  26M 1080k
15.4G  416k 83.5M  144M| 90   3   7   0   0   0|  27M  948k
15.4G  404k 77.9M  146M| 93   4   2   1   0   0|  60M  720k
15.4G  404k 84.8M  144M| 89   2   9   0   0   0|  33M  852k
15.4G  404k 82.6M  148M| 99   1   0   0   0   0|7352k  476k
15.4G  400k 82.0M  147M| 92   1   8   0   0   0|1980k   76k
15.4G  408k 83.0M  146M| 99   1   0   0   0   0|1160k   68k
15.4G  400k 79.7M  150M| 91   1   7   0   0   0|  15M  436k
15.4G  392k 84.7M  145M| 91   1   7   0   0   0|  28M  248k
15.4G  384k 78.0M  152M| 97   2   2   0   0   0|  32M  548k
15.4G  368k 80.8M  149M| 92   3   4   0   0   0|  66M  252k
15.4G  376k 79.2M  151M| 96   2   2   0   0   0|8024k  136k
15.4G  356k 84.8M  144M| 88   4   8   0   0   0|  76M  244k
15.4G  384k 74.8M  154M| 87   4   9   1   0   1|  88M  608k
15.4G  380k 84.3M  145M| 95   5   0   0   0   1| 115M   92k
15.4G  364k 74.8M  148M| 85   6   8   0   0   1| 170M  324k
15.4G  384k 65.3M  145M| 76  11   9   3   0   1| 255M 2552k
15.4G  344k 70.6M  146M| 85  12   1   2   0   1| 289M 4012k
15.4G  340k 67.6M  150M| 57  12  20  10   0   0| 133M 4108k
15.4G  336k 69.6M  150M| 88   9   1   2   0   0| 208M 3140k
15.4G  336k 71.3M  147M| 74   9  15   2   0   0| 166M 1068k
15.4G  468k 70.5M  144M| 88   9   2   1   0   1| 196M 3096k
15.4G  404k 71.4M  146M| 81  10   7   2   0   1| 215M 4844k
15.4G  372k 69.8M  145M| 70  13  12   4   0   1| 207M 3232k
15.4G  356k 69.2M  147M| 44  14  22  20   0   0| 170M 2796k
15.4G  348k 69.7M  143M| 87  12   0   1   0   0| 218M 4264k
15.4G  352k 71.7M  138M| 52  13  22  13   0   1| 164M 3204k
15.4G  352k 71.7M  143M| 90  10   0   0   0   0| 105M 3760k
15.4G  348k 75.7M  138M| 81  14   0   5   0   1| 257M 4528k
15.4G  348k 70.2M  145M| 91   8   0   1   0   0|  72M 1760k
15.4G  348k 70.7M  141M| 62  11  18   8   0   0| 171M 3520k
15.4G  348k 70.9M  145M| 90   9   0   0   0   1|  99M 4276k
15.4G  356k 72.6M  146M| 82   6  11   1   0   0|  77M 1280k
15.4G  356k 76.2M  142M| 98   2   0   0   0   0|  36M   52k
15.4G  356k 73.6M  145M| 91   4   5   0   0   0|  55M   92k
15.4G  356k 75.1M  143M| 90   6   4   0   0   0|  78M  664k
15.4G  356k 73.1M  144M| 95   4   1   0   0   0|  61M  388k
15.4G  356k 72.9M  146M| 74   6  16   3   0   0|  89M  684k
15.4G  348k 72.0M  144M| 77  12   0  10   0   0| 212M  608k
15.4G  376k 72.9M  147M| 60  14   0  25   0   1| 185M 3004k
15.4G  360k 73.3M  147M| 28  10  15  46   0   0| 255M 6120k
15.4G  336k 72.9M  149M| 62   7  15  15   0   1|  82M 1108k
15.4G  336k 72.2M  146M| 95   4   1   0   0   0|  53M  572k
15.4G  336k 72.4M  147M| 87   4   9   0   0   0|  54M  272k
15.4G  336k 73.9M  144M| 96   4   0   0   0   0|  47M  104k
15.4G  340k 75.1M  144M| 87   5   8   0   0   0|  61M  268k
15.4G  340k 74.7M  144M| 94   5   0   0   0   0|  66M  520k
15.4G  344k 76.2M  144M| 85   4   9   1   0   0|  74M 1380k
15.4G  344k 74.2M  144M| 94   5   1   0   0   0|  55M 2024k
15.4G  348k 69.9M  148M| 84   5   9   1   0   0|  78M  196k
15.4G  348k 73.5M  145M| 82   6  11   1   0   0|  88M  472k
15.4G  348k 73.6M  144M| 94   6   0   0   0   0|  89M  604k
15.4G  388k 73.4M  143M| 81   6  12   1   0   0|  92M  664k
15.4G  400k 72.5M  145M| 86   5   8   1   0   0|  69M  404k
15.4G  420k 71.4M  146M| 92   7   0   0   0   0| 102M  320k
15.4G  396k 74.8M  145M| 79   8  12   1   0   1| 131M 3336k
15.4G  396k 71.8M  145M| 93   7   0   0   0   0| 103M 1420k
15.4G  392k 73.1M  141M| 77   8  11   3   0   0| 122M 2900k
15.4G  372k 73.8M  144M| 83   9   6   1   0   0| 158M 3656k
15.4G  596k 67.0M  148M| 84   8   7   0   0   0| 136M  664k
15.4G  392k 72.9M  144M| 79  11   8   2   0   1| 281M 5244k
15.4G  364k 71.5M  145M| 85  12   1   1   0   1| 168M 2508k
15.4G  348k 73.1M  141M| 23  14  22  40   0   0| 283M 1844k
15.4G  344k 69.3M  145M| 54  13  11  20   0   1| 157M 3180k
15.4G  344k 63.7M  134M| 63  12   3  22   0   1| 341M 4004k
15.4G  368k 66.4M  145M| 67  13   9  11   0   1| 187M 3428k
15.4G  364k 52.4M  144M| 73  14   1  12   0   1| 323M 3480k
15.4G  488k 53.7M  142M| 29  14  20  37   0   1| 177M 4576k
15.4G  376k 58.8M  137M| 10  18   3  69   0   1| 434M 2808k
15.4G  364k 51.9M  144M| 27  13   1  59   0   1| 146M 1516k
15.4G  348k 49.3M  148M| 74  11   0  15   0   0|  59M  412k
15.4G  348k 49.5M  147M| 19  11   1  68   0   0| 175M 2580k
15.4G  336k 49.6M  146M| 22  14   1  64   0   0| 111M 3264k
15.4G  344k 67.7M  133M| 37  21   6  35   0   1| 332M 5640k
15.4G  340k 71.8M  132M| 11  22   6  60   0   1| 445M 4464k
15.4G  336k 73.6M  134M|  3  15   3  79   0   0| 276M 2820k
15.4G  344k 74.0M  132M| 30  15   0  54   0   1| 284M 1132k missed 2 ticks
15.4G  340k 59.1M  147M| 62  14   0  23   0   1| 199M 4920k
15.4G  336k 70.2M  136M| 28  15   0  56   0   1| 208M 1360k
15.4G  328k 70.8M  144M| 53  14  18  14   0   1| 218M 3440k
15.4G  328k 70.9M  147M| 89   8   2   1   0   0|  68M 1376k
15.4G  328k 74.5M  143M| 81  11   7   1   0   0| 212M 5108k
15.4G  348k 72.4M  141M| 66  15   6  13   0   1| 269M 3124k
15.4G  340k 70.6M  144M| 65  14   1  19   0   1| 153M 1268k
15.4G  332k 70.2M  144M| 51  15  19  14   0   1| 238M 3856k
15.4G  332k 74.9M  145M| 82  11   1   5   0   1| 112M 2020k
15.4G  340k 75.5M  145M| 95   4   0   0   0   0|  81M  436k
15.4G  340k 75.6M  145M| 70  10  17   4   0   0| 131M 3824k
15.4G  340k 71.5M  145M| 93   6   0   0   0   1|  73M  712k
15.4G  340k 71.9M  148M| 88   7   4   1   0   0|  84M 3860k
15.4G  324k 72.9M  146M| 86   6   8   0   0   0|  79M 1516k
