application,framework,benchmark,mem_size,mem_freq,channels,cpu_freq,core_count,input_size,exe_time,IPC,L3_hit,L2_hit,C0_residency,CPU_Energy,DRAM_Energy,EDP(k),CPU_watt,DRAM_watt,BW
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.316801,0.26016,0.151369,99.7144,58.7119,1.46427,0.0600558,58.8296,1.46721,3816.3
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.311097,0.268422,0.14799,99.9995,58.8854,1.50307,0.0602677,59.0034,1.50608,3873.05
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.331537,0.215747,0.130985,92.664,57.1951,1.46779,0.0585455,57.3097,1.47073,4300.71
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.317995,0.254842,0.14712,99.9994,58.744,1.43366,0.0600573,58.8617,1.43653,3863.36
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.328766,0.263237,0.134579,99.9993,58.8672,1.57074,0.0603171,58.9852,1.57389,4054.77
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.330299,0.237668,0.131261,92.8607,57.4255,1.59177,0.0588992,57.5406,1.59496,4518.22
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.320997,0.264744,0.142378,99.9993,58.868,1.55554,0.0603027,58.986,1.55865,3982.17
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,0.305864,0.255504,0.140154,99.7338,58.7449,1.49285,0.0601173,58.8627,1.49584,3679.74
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.61723,0.355034,0.344333,92.8723,66.0387,2.29399,0.0682644,66.1048,2.29629,9277.92
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,3.084,0.301519,0.571428,92.0262,73.2882,2.74673,0.0759589,73.3616,2.74948,12698.9
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.95766,0.246027,0.520927,86.0721,70.1365,2.64291,0.0726338,70.277,2.6482,12274.3
wordcount,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,3.04741,0.32872,0.571065,90.9137,72.4611,2.57929,0.0748903,72.6063,2.58446,12373.6
