application,framework,benchmark,mem_size,mem_freq,channels,cpu_freq,core_count,input_size,exe_time,IPC,L3_hit,L2_hit,C0_residency,CPU_Energy,DRAM_Energy,EDP(k),CPU_watt,DRAM_watt,BW
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.03987,0.397558,0.550096,81.8243,68.2584,3.05966,0.0711754,68.3952,3.06579,16679.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.95938,0.455615,0.544762,87.7513,70.354,3.25163,0.073532,70.4244,3.25489,17524.8
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.02104,0.393841,0.543739,82.5553,68.5275,3.14824,0.0715323,68.6648,3.15454,16824.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.001,1.97964,0.430523,0.551981,83.6794,69.0458,3.08456,0.0722025,68.9768,3.08148,16627
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.006,1.8767,0.44427,0.527459,80.8275,67.4681,2.85331,0.0707434,67.0657,2.83629,14448.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.88737,0.43783,0.523812,84.3336,69.3547,2.82955,0.0720399,69.4937,2.83522,13257.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.75696,0.395565,0.530513,81.2112,66.718,2.50192,0.0690814,66.8517,2.50693,11010.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.8597,0.465136,0.566237,85.1548,69.3904,2.56699,0.0718855,69.4599,2.56956,10953.9
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.90049,0.458244,0.579486,83.0277,68.6865,2.52473,0.07114,68.7553,2.52726,10639
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.90615,0.458101,0.553636,82.8294,68.7651,2.58905,0.0712828,68.834,2.59164,10943.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.92437,0.462983,0.545877,83.6706,69.3455,2.58123,0.0718548,69.4149,2.58382,11120.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.008,1.83669,0.392234,0.523679,76.5482,66.4135,2.4889,0.0694536,65.8864,2.46914,10579.4
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.97467,0.451448,0.579751,82.9467,69.4169,2.57081,0.0718437,69.556,2.57597,11182.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.95627,0.454519,0.566298,83.1876,69.2538,2.56743,0.0716776,69.3926,2.57258,11268.6
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.91166,0.454989,0.554591,83.0022,68.9491,2.51351,0.0713197,69.0873,2.51855,11084.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.88698,0.404124,0.538937,80.2885,67.5349,2.49196,0.0698868,67.6703,2.49695,10980.5
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.89939,0.444322,0.576618,78.4869,66.8483,2.46555,0.0691752,66.9823,2.47049,10768.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.99206,0.464009,0.568393,82.6203,69.4474,2.60851,0.0719118,69.5866,2.61374,11396.2
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.999,1.99164,0.36339,0.533962,81.5422,68.0656,2.86206,0.0708567,68.1337,2.86493,14518.4
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.03092,0.378039,0.556481,83.1483,68.7404,2.95233,0.0715493,68.8781,2.95825,15545.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.05676,0.386234,0.544394,83.7097,69.0045,3.08592,0.0719462,69.1427,3.0921,16421.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.05943,0.38438,0.542513,82.9346,68.8271,3.03007,0.0717134,68.965,3.03615,16683.7
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,2.07903,0.404134,0.555517,81.5742,68.5449,3.0852,0.0714868,68.6822,3.09138,16440.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,0.998,1.97811,0.42632,0.561992,87.6285,70.3411,3.10654,0.0733008,70.4821,3.11277,16522.1
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.005,2.07725,0.38297,0.537167,82.3024,68.9274,3.14695,0.0724348,68.5845,3.13129,16836.3
naivebayes,flink,bigdatabench,16,2133,2,2.1,16,1,1.012,2.05578,0.388324,0.543604,83.1002,69.7223,3.12991,0.0737264,68.8955,3.09279,16641.9
