[7l------memory-usage----- ----total-cpu-usage---- -dsk/total-
 used  buff  cach  free|usr sys idl wai hiq siq| read  writ
 666M 10.2M  585M 14.4G| 21   0  78   0   0   0|  13M 6419k
 767M 5764k 89.6M 14.7G| 21   3  74   2   0   1|  48M    0 
1290M 5776k  110M 14.2G| 34   3  62   1   0   0|  20M    0 
3219M 5932k  111M 12.3G| 25   8  66   0   0   1|3884k   40k
7680M 6064k  121M 8155M| 23  28  48   0   0   0|  11M    0 
11.5G 6072k  127M 4003M| 45  31  24   0   0   0|  30M  160k
12.3G 6072k  127M 3281M| 66   5  26   2   0   1|  34M    0 
12.3G 6284k  237M 3134M| 19   1  79   1   0   0|  97M    0 
12.3G 6288k  380M 2994M| 15   1  83   0   0   0|  67M    0 
14.9G 6296k  380M  316M| 54  19  26   0   0   1| 716k  112k
14.9G 6308k  411M  240M| 60   1  38   0   0   0|  40k   86M
14.9G 6160k  508M  151M| 28   2  66   4   0   0| 172M  117M
15.0G 6124k  457M  148M| 95   2   2   0   0   0| 333M   34M
15.0G 6128k  429M  150M| 79   1  20   0   0   0|  40k  208k
15.0G 6128k  435M  149M| 83   1  15   0   0   0| 156M  972k
15.0G 6144k  427M  157M| 87   1  11   0   0   0| 188M  732k
15.0G 6084k  428M  156M| 91   2   7   0   0   0| 339M  308k
15.0G 5956k  440M  147M| 85   2  13   0   0   0| 334M  268k
15.0G 5940k  443M  144M| 90   2   8   0   0   0| 373M  128k
15.0G 5368k  442M  148M| 90   2   7   0   0   0| 363M 2312k
15.0G  980k  441M  155M| 98   2   0   0   0   0| 242M 2668k
15.0G  988k  441M  155M| 93   0   7   0   0   0|  32k   36k
15.0G  988k  441M  154M|100   0   0   0   0   0|  56k    0 
15.0G  988k  441M  154M| 92   0   7   0   0   0|  52k    0 
15.0G  988k  441M  154M| 92   0   7   0   0   0|  24k    0 
15.0G  988k  441M  154M| 99   0   1   0   0   0|  36k    0 
15.0G  996k  441M  154M| 93   0   7   0   0   0|  32k   32k
15.0G  996k  441M  154M| 93   0   7   0   0   0|  12k    0 
15.0G  996k  441M  154M| 97   0   3   0   0   0|  40k    0 
15.0G  996k  441M  154M| 95   0   5   0   0   0|  36k    0 
15.0G  996k  441M  154M| 93   0   7   0   0   0| 700k    0 
15.0G 1004k  442M  153M| 93   0   7   0   0   0|  44k   32k
15.0G 1004k  442M  153M|100   0   0   0   0   0| 164k    0 
15.0G 1004k  442M  153M| 93   0   7   0   0   0|  40k    0 
15.0G 1004k  443M  151M| 92   0   7   0   0   0|1184k    0 
15.0G 1004k  443M  151M| 93   0   7   0   0   0|  32k    0 
15.0G 1012k  443M  151M| 99   0   1   0   0   0|  24k   32k
15.0G 1012k  443M  151M| 94   0   6   0   0   0| 160k    0 
15.0G 1012k  443M  150M|100   0   0   0   0   0| 144k    0 
15.0G 1012k  443M  150M| 93   0   7   0   0   0|  32k    0 
15.0G 1012k  443M  150M|100   0   0   0   0   0|  12M   52k
15.0G 1020k  445M  148M| 93   0   7   0   0   0|  30M  376k
15.0G 1020k  441M  150M| 92   1   8   0   0   0|  64M  948k
15.0G 1008k  449M  148M| 91   2   8   0   0   0| 224M 2712k
15.0G  868k  443M  158M| 91   2   7   0   0   0| 276M 3364k
15.0G  884k  450M  154M| 91   2   7   0   0   0| 344M 4800k
15.0G  900k  455M  156M| 90   2   8   0   0   0| 415M 6344k
15.0G  876k  459M  160M| 90   2   7   0   0   0| 313M 5176k
15.0G  876k  481M  149M| 91   2   8   0   0   0| 312M 6936k
15.0G  876k  482M  159M| 92   1   7   0   0   0| 270M 8304k
15.0G  880k  486M  156M| 99   0   0   0   0   0|  59M 2776k
15.0G  888k  488M  151M| 93   0   7   0   0   0|  12M   36k
15.0G 1280k  488M  151M| 93   0   7   0   0   0| 472k    0 
15.0G 1280k  488M  151M|100   0   0   0   0   0|  36k    0 
15.0G 1280k  488M  150M| 93   0   7   0   0   0|  32k    0 
15.0G 1280k  488M  150M| 93   0   7   0   0   0|  40k    0 
15.0G 1288k  488M  150M|100   0   0   0   0   0|  40k   36k
15.0G 1288k  488M  150M| 92   0   7   0   0   0|  52k    0 
15.0G 1288k  488M  150M| 99   0   0   0   0   0|  24k    0 
15.0G 1288k  488M  150M| 93   0   7   0   0   0|  52k    0 
15.0G 1288k  488M  150M| 93   0   7   0   0   0|  20k    0 
15.0G 1296k  488M  149M|100   0   0   0   0   0| 144k   32k
15.0G 1296k  489M  149M| 81   1  18   0   0   0|  28k    0 
15.0G 1296k  489M  149M| 84   0  16   0   0   0|  40k    0 
15.0G 1296k  489M  149M| 92   0   8   0   0   0|  20k    0 
15.0G 1296k  488M  149M|100   0   0   0   0   0|  36k    0 
15.0G 1304k  489M  149M| 93   0   7   0   0   0|  24k   32k
15.0G 1304k  486M  152M| 93   0   7   0   0   0|  23M  980k
15.0G 1304k  480M  159M| 92   0   7   0   0   0|  28M  620k
15.0G 1304k  488M  151M| 94   0   6   0   0   0|  30M   44k
15.0G 1304k  490M  150M| 98   0   1   0   0   0|  32M  212k
15.0G 1316k  491M  149M| 92   0   7   0   0   0|  57M  244k
15.0G 1316k  473M  163M| 93   1   6   0   0   0|  77M  156k
15.0G 1316k  489M  151M| 91   1   7   0   0   0| 155M   48k
15.0G 1320k  478M  168M| 92   1   7   0   0   0| 188M 2472k
15.0G 1320k  489M  161M| 91   2   7   0   0   0| 272M 6684k
14.9G 1332k  510M  154M| 91   1   7   0   0   0| 320M   15M
14.9G 1336k  525M  159M| 91   2   7   0   0   0| 314M   19M
14.9G 1336k  542M  160M| 96   1   3   0   0   0| 307M   17M
14.9G 1344k  543M  169M| 94   1   4   0   0   0| 271M   11M
14.9G 1344k  564M  157M| 91   1   8   0   0   0| 169M   10M
14.9G 1352k  578M  151M| 92   0   8   0   0   0|  69M 4220k
14.9G 1848k  580M  150M|100   0   0   0   0   0|4760k    0 
14.9G 1848k  580M  149M| 93   0   7   0   0   0|  48k    0 
14.9G 1848k  580M  149M|100   0   0   0   0   0|  16k    0 
14.9G 1848k  580M  149M| 92   0   7   0   0   0|  36k    0 
14.9G 1860k  580M  149M| 93   0   7   0   0   0|  36k   92k
14.9G 1860k  580M  149M|100   0   0   0   0   0|  28k    0 
14.9G 1860k  580M  149M| 93   0   7   0   0   0|  16k    0 
14.9G 1860k  580M  149M| 93   0   7   0   0   0|  48k    0 
14.9G 1860k  580M  149M|100   0   0   0   0   0|  28k    0 
14.9G 1868k  578M  150M| 93   0   7   0   0   0|4624k   32k
14.9G 1868k  563M  169M| 93   0   7   0   0   0|  29M 5452k
14.9G 1868k  577M  155M| 93   1   7   0   0   0|  29M    0 
14.9G 1868k  584M  149M| 97   0   3   0   0   0|  31M   48k
14.9G 1868k  578M  155M| 96   0   4   0   0   0|  32M  284k
14.9G 1876k  555M  178M| 93   0   7   0   0   0|  29M 2980k
14.9G 1876k  584M  152M| 92   1   7   0   0   0|  58M    0 
14.9G 1876k  581M  161M| 93   0   7   0   0   0|  86M 4700k
14.9G 1876k  589M  157M| 92   1   7   0   0   0|  91M 2944k
14.9G 1876k  595M  155M| 92   1   7   0   0   0| 116M 6140k
14.8G 1884k  606M  150M| 92   1   7   0   0   0| 115M 4752k
14.8G 1856k  605M  159M| 92   1   7   0   0   0| 134M 7772k
14.8G 1852k  601M  176M| 91   2   8   0   0   0| 242M   11M
14.8G 1852k  631M  147M| 91   1   8   0   0   0| 250M 2116k
14.8G 1852k  618M  162M| 98   1   0   0   0   0| 269M 1756k
14.8G 1864k  621M  163M| 91   1   8   0   0   0| 200M 1872k
14.8G 1864k  625M  168M| 91   1   7   0   0   0| 191M 9756k
14.8G 1864k  640M  163M| 91   1   8   0   0   0| 164M   13M
14.8G 1864k  656M  152M| 91   1   8   0   0   0|  78M 3900k
14.8G 1836k  653M  157M| 99   0   0   0   0   0|  32M 3196k
14.8G 1844k  660M  150M| 93   0   7   0   0   0|6296k   80k
14.8G 1844k  660M  150M|100   0   0   0   0   0| 140k    0 
14.8G 1844k  643M  160M| 88   0  12   0   0   0|3668k 2344k
14.8G 1852k  626M  162M| 89   0  10   0   0   0|  11M 2448k
14.8G 1852k  626M  162M| 99   0   0   0   0   0|  40k    0 
14.8G 1860k  626M  167M| 93   0   7   0   0   0|  84k   76k
14.8G 1860k  629M  164M| 92   0   7   0   0   0|6924k    0 
14.8G 1860k  629M  164M| 97   0   3   0   0   0| 136k    0 
14.8G 1860k  630M  164M| 85   0  14   0   0   1|  60k    0 
14.8G 1860k  630M  160M| 89   0  11   0   0   0|  88k    0 
14.8G 1868k  630M  159M| 87   0  12   0   0   0| 180k   44k
14.8G 1868k  639M  150M| 88   0  12   0   0   1|  19M    0 
14.8G 1868k  632M  163M| 90   1   9   0   0   0|  61M 5808k
14.8G 1868k  629M  173M| 86   1  14   0   0   0|  78M 6840k
14.8G 1868k  651M  156M| 85   1  14   0   0   0|  89M 3800k
14.8G 1876k  656M  159M| 78   1  21   0   0   1|  88M 6928k
14.8G 1876k  661M  153M| 79   1  20   0   0   0|  88M 7808k
14.8G 1876k  670M  151M| 71   1  28   0   0   0|  83M 6860k
14.8G 1876k  660M  167M| 67   0  32   0   0   0|  48M 6812k
14.8G 1876k  665M  166M| 56   1  42   0   0   1|  47M 3892k
14.8G 1884k  666M  170M| 52   0  47   0   0   0|  41M 3936k
14.8G 1884k  680M  155M| 42   0  57   0   0   0|  30M    0 
14.8G 1884k  678M  160M| 34   0  65   0   0   1|  35M 4032k
14.8G 1884k  690M  150M| 33   0  66   0   0   0|  34M  180k
14.8G 1884k  691M  150M| 36   0  63   0   0   0|  31M 3300k
14.8G 1892k  674M  171M| 33   0  66   0   0   0|  16M 5292k
14.8G 1892k  674M  171M| 34   0  66   0   0   0|  44k    0 
14.8G 1892k  674M  171M| 33   0  66   0   0   0|  28k    0 
14.8G 1892k  674M  171M| 36   0  64   0   0   0|  24k    0 
14.8G 1892k  674M  171M| 33   0  66   0   0   0|  36k    0 
14.8G 1892k  674M  176M| 33   0  66   0   0   0|  32k    0 
14.8G 1900k  674M  176M| 35   0  64   0   0   0| 168k   32k
14.8G 1900k  674M  176M| 33   0  66   0   0   0|  36k    0 
14.8G 1900k  674M  176M| 34   0  66   0   0   0|  32k    0 
14.8G 1900k  674M  176M| 34   0  66   0   0   0|  20k    0 
14.8G 1900k  697M  155M| 33   0  66   0   0   0|  45M    0 
14.8G 1908k  699M  148M| 40   0  59   0   0   0|  44M 4096k
14.8G 1908k  686M  163M| 33   0  66   0   0   0|  15M 5536k
14.8G 1908k  686M  163M| 32   0  67   0   0   0|  48k    0 
14.8G 1908k  687M  162M| 25   0  75   0   0   0| 732k    0 
14.7G 1908k  687M  170M| 27   0  72   0   0   0|  32k    0 
14.7G 1916k  695M  163M| 22   0  77   0   0   1|  18M   40k
14.7G 1916k  699M  160M|  8   0  91   0   0   0|6924k  152k
14.7G 1916k  703M  155M|  9   0  91   0   0   0|5096k    0 
14.7G 1916k  704M  155M|  9   0  91   0   0   0|  36k    0 
14.7G 2220k  675M  241M| 14   2  82   2   0   0|  31M 1396k
